City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Saint-Pierre,RE,2022-04-02 22:08:00,-21.3393,55.4781,74.88,87,75,8.05
246,Zhezkazgan,KZ,2022-04-02 22:08:00,47.8043,67.7144,44.71,56,90,4.29
247,Sao Joao Da Barra,BR,2022-04-02 22:08:01,-21.6403,-41.0511,78.89,85,14,6.62
248,Nador,MA,2022-04-02 22:08:01,35.174,-2.9287,57.45,67,0,8.05
249,Hearst,CA,2022-04-02 22:08:01,49.6835,-83.6665,35.6,100,100,6.6
250,Setermoen,NO,2022-04-02 22:06:48,68.861,18.3486,19.36,96,100,5.79
251,Pacific Grove,US,2022-04-02 22:03:28,36.6177,-121.9166,72.39,75,0,8.05
252,Samana,DO,2022-04-02 22:08:02,19.2056,-69.3369,82.36,78,6,11.12
253,Providencia,MX,2022-04-02 22:08:03,28.7167,-111.5833,88.21,44,0,15.01
254,Sao Francisco,BR,2022-04-02 22:03:48,-15.9486,-44.8644,78.03,34,6,5.99
255,Severo-Kurilsk,RU,2022-04-02 22:08:03,50.6789,156.125,28.65,68,100,27.67
256,Husavik,IS,2022-04-02 22:08:04,66.0449,-17.3389,35.38,93,100,5.28
257,Hazorasp,UZ,2022-04-02 22:08:04,41.3194,61.0742,57.04,26,100,10.92
258,Kozulka,UA,2022-04-02 22:08:05,50.0351,23.797,32.05,98,99,7.25
259,Ndago,TZ,2022-04-02 22:08:05,-4.6,34.35,64.11,75,97,6.96
260,Camocim,BR,2022-04-02 22:08:06,-2.9022,-40.8411,77.38,90,94,9.24
261,Vilani,LV,2022-04-02 22:08:06,56.5525,26.9245,25.61,81,69,10.58
262,Sao Filipe,CV,2022-04-02 22:08:07,14.8961,-24.4956,70.99,81,27,5.41
263,Bilma,NE,2022-04-02 22:08:07,18.6853,12.9164,84.16,5,100,6.02
264,El Cobre,CU,2022-04-02 22:08:07,20.0489,-75.9469,81.84,69,40,9.22
265,Djibo,BF,2022-04-02 22:08:08,14.1022,-1.6306,90.16,6,36,6.22
266,Nicoya,CR,2022-04-02 22:08:08,10.1483,-85.452,92.44,42,52,4.61
267,Kargasok,RU,2022-04-02 22:08:08,59.0556,80.8572,5.54,98,87,4.03
268,Codo,BR,2022-04-02 22:08:09,-4.4553,-43.8856,75.29,96,63,2.86
269,Laurel,US,2022-04-02 22:08:10,39.0993,-76.8483,59.88,37,0,8.05
270,Ahipara,NZ,2022-04-02 22:08:10,-35.1667,173.1667,70.3,69,100,1.25
271,Esso,RU,2022-04-02 22:08:10,55.9333,158.7,13.21,85,100,6.58
272,San Andres,CO,2022-04-02 22:08:11,12.5847,-81.7006,84.22,74,20,10.36
273,Kostomuksha,RU,2022-04-02 22:09:11,64.571,30.5767,23.68,95,100,9.84
274,Ocos,GT,2022-04-02 22:09:11,14.5094,-92.1933,87.98,63,0,13.33
275,Caluquembe,AO,2022-04-02 22:09:12,-13.7833,14.6833,61.83,98,100,3.65
276,Bahia Honda,CU,2022-04-02 22:09:12,22.9036,-83.1592,85.62,57,27,4.36
277,Salvador,SV,2022-04-02 22:05:02,13.8333,-88.9167,81.05,49,30,11.32
